,LAT,LON,YEAR_MONTH,T2M_mean,QV2M_mean,GWETROOT_mean,PRECTOT_sum,month,month_sin,month_cos,T2M_lag1,QV2M_lag1,GWET_lag1,PREC_lag1,T2M_lag2,QV2M_lag2,GWET_lag2,PREC_lag2,T2M_lag3,QV2M_lag3,GWET_lag3,PREC_lag3,T2M_t1,QV2M_t1,GWET_t1,PREC_t1,T2M_t2,QV2M_t2,GWET_t2,PREC_t2,T2M_t3,QV2M_t3,GWET_t3,PREC_t3
0,18.0,73.75,2024-11-01,20.26966666666667,12.04,0.804,8.0,11,-0.8660254037844386,0.5000000000000001,24.05516129032258,17.04806451612903,0.9380645161290322,115.8,23.482000000000003,17.627,0.9763333333333333,379.96,24.201290322580647,18.588709677419356,0.9903225806451613,590.76,20.743225806451612,11.922258064516129,0.6732258064516129,1.57,21.41548387096774,8.964193548387096,0.5719354838709677,0.0,24.916071428571428,7.244642857142857,0.5075000000000001,0.0
1,18.0,73.75,2024-12-01,20.743225806451612,11.922258064516129,0.6732258064516129,1.57,12,-0.5000000000000004,0.8660254037844384,20.26966666666667,12.04,0.804,8.0,24.05516129032258,17.04806451612903,0.9380645161290322,115.8,23.482000000000003,17.627,0.9763333333333333,379.96,21.41548387096774,8.964193548387096,0.5719354838709677,0.0,24.916071428571428,7.244642857142857,0.5075000000000001,0.0,28.200000000000003,6.988709677419355,0.48129032258064514,0.03
2,18.0,73.75,2025-01-01,21.41548387096774,8.964193548387096,0.5719354838709677,0.0,1,0.0,1.0,20.743225806451612,11.922258064516129,0.6732258064516129,1.57,20.26966666666667,12.04,0.804,8.0,24.05516129032258,17.04806451612903,0.9380645161290322,115.8,24.916071428571428,7.244642857142857,0.5075000000000001,0.0,28.200000000000003,6.988709677419355,0.48129032258064514,0.03,30.009999999999998,9.836666666666668,0.48166666666666663,13.42
3,18.0,73.75,2025-02-01,24.916071428571428,7.244642857142857,0.5075000000000001,0.0,2,0.49999999999999994,0.8660254037844387,21.41548387096774,8.964193548387096,0.5719354838709677,0.0,20.743225806451612,11.922258064516129,0.6732258064516129,1.57,20.26966666666667,12.04,0.804,8.0,28.200000000000003,6.988709677419355,0.48129032258064514,0.03,30.009999999999998,9.836666666666668,0.48166666666666663,13.42,26.71677419354839,16.02032258064516,0.5961290322580646,426.3
4,18.0,73.75,2025-03-01,28.200000000000003,6.988709677419355,0.48129032258064514,0.03,3,0.8660254037844386,0.5000000000000001,24.916071428571428,7.244642857142857,0.5075000000000001,0.0,21.41548387096774,8.964193548387096,0.5719354838709677,0.0,20.743225806451612,11.922258064516129,0.6732258064516129,1.57,30.009999999999998,9.836666666666668,0.48166666666666663,13.42,26.71677419354839,16.02032258064516,0.5961290322580646,426.3,24.766666666666666,18.595333333333333,0.8866666666666667,535.22
5,18.0,73.75,2025-04-01,30.009999999999998,9.836666666666668,0.48166666666666663,13.42,4,1.0,6.123233995736766e-17,28.200000000000003,6.988709677419355,0.48129032258064514,0.03,24.916071428571428,7.244642857142857,0.5075000000000001,0.0,21.41548387096774,8.964193548387096,0.5719354838709677,0.0,26.71677419354839,16.02032258064516,0.5961290322580646,426.3,24.766666666666666,18.595333333333333,0.8866666666666667,535.22,23.758387096774193,18.20709677419355,0.9870967741935485,627.34
6,18.0,74.375,2024-11-01,20.29733333333333,11.608333333333333,0.776,6.0600000000000005,11,-0.8660254037844386,0.5000000000000001,24.21193548387097,16.595806451612905,0.8832258064516129,88.66,23.766000000000002,17.034666666666666,0.9163333333333333,236.16,24.52258064516129,18.00516129032258,0.9258064516129032,323.83,21.07903225806452,11.37483870967742,0.6770967741935484,1.33,21.554193548387094,8.132903225806452,0.6109677419354839,0.0,25.31357142857143,6.2682142857142855,0.575,0.0
7,18.0,74.375,2024-12-01,21.07903225806452,11.37483870967742,0.6770967741935484,1.33,12,-0.5000000000000004,0.8660254037844384,20.29733333333333,11.608333333333333,0.776,6.0600000000000005,24.21193548387097,16.595806451612905,0.8832258064516129,88.66,23.766000000000002,17.034666666666666,0.9163333333333333,236.16,21.554193548387094,8.132903225806452,0.6109677419354839,0.0,25.31357142857143,6.2682142857142855,0.575,0.0,28.779354838709676,6.075483870967742,0.5651612903225807,0.01
8,18.0,74.375,2025-01-01,21.554193548387094,8.132903225806452,0.6109677419354839,0.0,1,0.0,1.0,21.07903225806452,11.37483870967742,0.6770967741935484,1.33,20.29733333333333,11.608333333333333,0.776,6.0600000000000005,24.21193548387097,16.595806451612905,0.8832258064516129,88.66,25.31357142857143,6.2682142857142855,0.575,0.0,28.779354838709676,6.075483870967742,0.5651612903225807,0.01,31.203,8.248666666666667,0.5686666666666667,7.5
9,18.0,74.375,2025-02-01,25.31357142857143,6.2682142857142855,0.575,0.0,2,0.49999999999999994,0.8660254037844387,21.554193548387094,8.132903225806452,0.6109677419354839,0.0,21.07903225806452,11.37483870967742,0.6770967741935484,1.33,20.29733333333333,11.608333333333333,0.776,6.0600000000000005,28.779354838709676,6.075483870967742,0.5651612903225807,0.01,31.203,8.248666666666667,0.5686666666666667,7.5,27.450322580645164,14.995483870967742,0.6561290322580645,311.53
10,18.0,74.375,2025-03-01,28.779354838709676,6.075483870967742,0.5651612903225807,0.01,3,0.8660254037844386,0.5000000000000001,25.31357142857143,6.2682142857142855,0.575,0.0,21.554193548387094,8.132903225806452,0.6109677419354839,0.0,21.07903225806452,11.37483870967742,0.6770967741935484,1.33,31.203,8.248666666666667,0.5686666666666667,7.5,27.450322580645164,14.995483870967742,0.6561290322580645,311.53,25.141666666666666,17.728,0.8320000000000001,219.14
